Name,State,Party,DW-Nominate,Legislative Efficacy Score,Misalignment,CR_mean,CR_std,CR_median,CR_97.5,CR_2.5,PR_mean,PR_std,PR_median,PR_97.5,PR_2.5,Combine_mean,Combine_std,Combine_median,Combine_97.5,Combine_2.5, K-S score
"DeFazio, Peter",or,Democratic,-0.429,0.947833657,0.0,0.554981037837,0.0752571509847,0.555901448686,0.706085948465,0.395169410037,0.326299788015,0.0755115343407,0.319158735955,0.502523523854,0.197463330641,0.384742994535,0.0808636653325,0.38312379348,0.540407900592,0.228994821379,0.864971624291
"Johnson, Bill",oh,Republican,0.435,3.030955076,0.0,0.807978589211,0.0512348771549,0.812527726312,0.909049182922,0.704001837344,0.720639429156,0.101446618259,0.712567979061,0.914770342116,0.553307799023,0.727436098535,0.0886527360471,0.716155444151,0.886579278442,0.586098212303,0.468181818182
"Bridenstine, Jim",ok,Republican,0.695,0.407072991,0.0,0.816310476853,0.0565296155397,0.81523881172,0.938240118706,0.698138314164,0.861897774779,0.103841306416,0.860085291467,1.0,0.693003326272,0.858656908896,0.0965256813675,0.851902623335,1.0,0.712394176972,0.352832512315
"Pittenger, Robert",nc,Republican,0.558,1.456344724,0.0,0.845685748891,0.0551698677278,0.853839001347,0.939858830754,0.743277520393,0.561842404977,0.105717023621,0.56022824076,0.753930308969,0.360463761857,0.623618742212,0.0986180206771,0.615248187041,0.831951764625,0.457945052849,0.931760785233
"Tsongas, Niki",ma,Democratic,-0.409,0.513693631,0.0,0.582756274247,0.0660067836342,0.581117705004,0.713461939489,0.470364335212,0.413078098716,0.0709347412048,0.407282650799,0.555907239022,0.303018943349,0.390812815135,0.0668156712527,0.391196117148,0.531527295618,0.267471400334,0.786730769231
"Ross, Dennis",fl,Republican,0.539,0.690104723,0.0,0.74693708853,0.0567602458959,0.75585777677,0.854432906836,0.617071267871,0.722880756461,0.0943882456213,0.715465665205,0.906193621254,0.594715092022,0.725949395943,0.0877894051622,0.72226489309,0.882044338298,0.593571008099,0.279736452871
"Sherman, Brad",ca,Democratic,-0.346,0.045694556,0.0,0.786932487832,0.0593907262717,0.785517053364,0.907896519934,0.676860330302,0.409116864592,0.0879168027694,0.394182190467,0.599041212366,0.257257764114,0.466059279375,0.0799617192776,0.470015027046,0.609724387356,0.336095876304,0.995594713656
"Brat, Dave",va,Republican,0.828,0.0,0.0,0.754171618564,0.0549367095051,0.756409199191,0.863578407324,0.649051210688,0.735765325143,0.101130333316,0.73093411583,0.920993324074,0.590317520609,0.739341632243,0.0955093463174,0.744223267922,0.904923605091,0.585150145336,0.290107400571
"Titus, Dina",nv,Democratic,-0.296,1.178961754,0.0,0.344614630779,0.0692274080971,0.353690242685,0.453472623319,0.17045200497,0.352776984131,0.0801298429401,0.333666989489,0.535664412425,0.235639346286,0.292404762379,0.0654745743198,0.29272514019,0.417846133571,0.175459519942,0.122172061766
"Delaney, John",md,Democratic,-0.276,0.483230591,0.0,0.67070611505,0.0544440439751,0.671394890509,0.770462606831,0.542226211657,0.343605047179,0.0750181114764,0.33436112877,0.509203297463,0.229401612235,0.381492745351,0.0708678168971,0.378538672067,0.521979837479,0.260244889861,0.975069814674
